Order,Filename,Section,Chapter directory,Included in GitHub,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path,Width,Alignment
19,Halfling_venom-for-free_2.png,Halfling,03_Creating_a_Character,TRUE,A halfling Adept named Poppy in robes and a battle stance with her arms raised and her hair flowing in the wind.,Venom For Free,https://bsky.app/profile/venom-for-free.bsky.social,"Halfling_venom-for-free_2.png  © 2025 Wyrmworks Publishing by Venom For Free (https://bsky.app/profile/venom-for-free.bsky.social) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Halfling_venom-for-free_2.png,third,right
20,abyssinia-2029719.png,Human,03_Creating_a_Character,TRUE,profile bust of a human wearing a bandana over his head,Public Domain,,"abyssinia-2029719.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/abyssinia-2029719.png,third,right
21,PaolaHikari_Orc.png,Orc,03_Creating_a_Character,TRUE,bust of an orc dressed as a warrior with his arms crossed,Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Orc.png © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/PaolaHikari_Orc.png,half,right
22,Roselysium_Tiefling_Greyscale.png,Tiefling,03_Creating_a_Character,TRUE,"an androgynous, nonbinary Tiefling with shoulder-length flowing hair. The curved, ridged horns atop their head almost meet at the tips. They are wearing a somewhat regal outfit denoting their potentially noble background.",Roselysium,https://roselysium.carrd.co/,"Roselysium_Tiefling_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_Tiefling_Greyscale.png,third,right
23,Roselysium_MixedAncestry_Greyscale.png,Mixed Ancestry,03_Creating_a_Character,TRUE,"A jolly, short man with horns and scales leans against a small keg, which he is barely taller than. He is of both Dragonborn and Halfling heritage.",Roselysium,https://roselysium.carrd.co/,"Roselysium_MixedAncestry_Greyscale.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Roselysium_MixedAncestry_Greyscale.png,third,right
24,person with donkey-2028403_2.png,Cultures,03_Creating_a_Character,TRUE,Person holding a walking stick standing near a donkey,Public Domain,,"person with donkey-2028403_2.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/person with donkey-2028403_2.png,half,right
25,Ketch - Adrian Arduini Adventures_2.png,Backgrounds,03_Creating_a_Character,TRUE,dragonborn chef in kitchen tasting a soup,Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Ketch - Adrian Arduini Adventures_2.png © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Ketch - Adrian Arduini Adventures_2.png,half,right
26,PaolaHikari_Using_Ability_Scores.png,Using Ability Scores,03_Creating_a_Character,TRUE,a dragonborn picking the lock of a treasure chest,Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Using_Ability_Scores.png © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/PaolaHikari_Using_Ability_Scores.png,half,left
27,d20-7136921_1920.png,Ability Checks,03_Creating_a_Character,TRUE,D20,Public Domain,,"d20-7136921_1920.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/d20-7136921_1920.png,third,right
28,PaolaHikari_Strength.png,Strength,03_Creating_a_Character,TRUE,an halfling who is keeping a hellhound from biting down on her by holding its jaws open with her bare hands,Paola Recalcati,https://hikari_illustrations.artstation.com/,"PaolaHikari_Strength.png © 2025 Wyrmworks Publishing by Paola Recalcati (https://hikari_illustrations.artstation.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/PaolaHikari_Strength.png,half,right
